"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"CARYSIL",71,743.28,787.8,52773.2,55933.8,3160.6,5.99,-4.38,""
"CASTROLIND",11,203.12,175.08,2234.3,1925.88,-308.42,-13.8,-1.66,""
"CDSL",2,1164,1171.3,2328,2342.6,14.6,0.63,-3.42,""
"CELLO",1,750.2,393.5,750.2,393.5,-356.7,-47.55,-3.08,""
"CEMPRO",82,664.38,527.15,54478.75,43226.3,-11252.45,-20.65,-6.41,""
"CHEMPLASTS",1,525,261.95,525,261.95,-263.05,-50.1,-2.86,""
"CIEINDIA",1,458.35,446.55,458.35,446.55,-11.8,-2.57,-0.85,""
"CIPLA",1,1340,1242.3,1340,1242.3,-97.7,-7.29,-0.17,""
"COALINDIA",1,464,445.15,464,445.15,-18.85,-4.06,0.32,""
"COFORGE",63,1742.28,1144.7,109763.7,72116.1,-37647.6,-34.3,-1.58,""
"CROMPTON",1,283.95,232.3,283.95,232.3,-51.65,-18.19,-4.23,""
"DAMCAPITAL",1,370,132.05,370,132.05,-237.95,-64.31,-2.44,""
"DATAMATICS",1,930,673.45,930,673.45,-256.55,-27.59,-5.81,""
"DBCORP",11,278.88,194.55,3067.7,2140.05,-927.65,-30.24,-3.54,""
"DBREALTY",411,108.45,91.77,44570.97,37717.47,-6853.5,-15.38,-3.02,""
"DCXINDIA",1,275.7,164.5,275.7,164.5,-111.2,-40.33,-3.77,""
"DELHIVERY",1,249.9,428.75,249.9,428.75,178.85,71.57,-0.37,""
"DIGITIDE",1,145.59,77.13,145.59,77.13,-68.46,-47.02,-6.12,""
"DIVGIITTS",1,680,674.75,680,674.75,-5.25,-0.77,-3.28,""
"DIXON",4,11892,10019,47568,40076,-7492,-15.75,-3.8,""
"DLF",1,623.7,524.3,623.7,524.3,-99.4,-15.94,-1.88,""
"DLINKINDIA",36,394.18,390.05,14190.45,14041.8,-148.65,-1.05,-4.18,""
"DOMS",1,1800.05,2244.4,1800.05,2244.4,444.35,24.69,-3.99,""
"ECLERX",2,2190.35,1462.8,4380.7,2925.6,-1455.1,-33.22,-2.19,""
"EIDPARRY",182,936.85,794.45,170506.3,144589.9,-25916.4,-15.2,-1.72,""
"EIHOTEL",1,353.36,284.3,353.36,284.3,-69.06,-19.54,-5.09,""
"ELGIEQUIP",231,471.51,473.4,108918.5,109355.4,436.9,0.4,-2.86,""
"ELIN",2,162.18,99.75,324.35,199.5,-124.85,-38.49,-8.19,""
"EMMVEE",1,226.99,223.3,226.99,223.3,-3.69,-1.63,-2.19,""
"ENDURANCE",22,2240.68,2260,49294.9,49720,425.1,0.86,-3.13,""
"ENGINERSIN",210,195.71,189.7,41100,39837,-1263,-3.07,-3.21,""
"ENRIN",100,2678.49,2629.2,267848.5,262920,-4928.5,-1.84,-5.19,""
